Unnamed: 0,M,Method,LUT,FF,WNS (ns),Dynamic Power (W),Fmax (MHz),Throughput (M ops/s),Energy per Operation (pJ/op),Ener+E1:K2gy per Second (pJ/s)
0,4x4,OBC,1262,437,3.42,0.644,218.15,27.27,1.87,23.6156949
1,4x4,OBC+FIP,2576,959,1.64,0.664,157.23,19.65,3.56,33.7913486
2,4x4,Input partitioning,2473,1087,3.91,0.694,244.62,30.58,3.2,22.69457162
3,4x4,Input partitioning+FIP,4970,1442,1.18,0.754,146.56,18.32,8.9,41.15720524
4,8x8,OBC,16065,3383,2.3,1.014,175.47,21.93,19.15,46.2380301
5,8x8,Input partitioning,12604,5526,2.68,1.074,188.11,23.51,20.37,45.68268822
6,8x8,OBC+FIP,12200,4082,0.21,0.944,128.44,16.05,21.8,58.81619938
7,8x8,Input partitioning+FIP,18061,6093,1.54,1.204,136.92,19.36,31.45,62.19008264
9,12x12,Input partitioning,35890,12289,1.37,2.114,150.74,18.84,80.83,112.2080679
10,12x12,OBC+FIP,28364,8377,-1.97,1.364,100.31,12.54,61.25,108.7719298
11,12x12,Input partitioning+FIP,43797,14059,0.75,2.214,137.85,17.23,93.72,128.4968079
12,16x16,Input partitioning,195110,29069,0.39,3.884,131.34,16.42,200.4,236.5408039
13,16x16,OBC+FIP,53735,14359,-2.82,1.974,92.46,11.55,119.4,170.7612457
14,16x16,Input partitioning+FIP,43797,14059,-3.08,2.214,90.2,11.28,143.15,196.2765957
